PLACA,CODCLI,OBSERVA
BAK233,1223,          
MBD9A0,652,          
QIB2C6,1192,          
MMF881,1225,          
MLY917,1226,          
QHF801,1227,          
QJR1D0,726,          
QIL3G5,1230,          
MKY1F9,153,          
BCV8H0,1231,          
QRA2A1,289,          
MVH576,1639,          
PZK6I3,1233,          
MLQ618,1235,          
MKI347,1133,          
ANY1A5,1234,          
QYQ5H8,1239,          
MKV397,1236,          
LYU3F8,1240,          
MLJ6D2,1241,          
MAU111,1242,          
ALO9I4,1243,          
QIF0J2,1244,          
MGX3D9,1245,          
RXQ1A1,1122,          
MLL620,1246,          
QTK540,1248,          
FMA9D7,1237,          
DYC6D7,1250,          
MGM647,1249,          
MIV7E2,1251,          
MFT967,1253,          
OQD8H6,1252,          
QJQ0B4,9,          
MJV6J2,1255,          
MEE5G9,1108,          
MEU421,476,          
MIK4A4,729,          
MLK6B6,1257,          
MLS2J5,1256,          
"156,08",669,          
QIX625,1258,          
LYI5B4,1096,          
RLA5C4,1259,          
MCN0I4,1260,          
MBO472,1262,          
RDS7I4,910,          
MHR6E2,11,          
MLW2H4,1264,          
PUW3C1,962,          
MGI5A1,1263,          
QHC3F5,1235,          
JZB8J4,44,          
QTM4J9,1265,          
MUW893,254,          
MGN325,1266,          
AUP6D1,787,          
AVI2D6,1235,          
ILA1D8,1243,          
PRY3G8,1267,          
0,141,"PEÇAS DANIFICADAS:
* 02 BARRA AXIAL
* 04 BUCHAS BALANÇA
*SUSPENSÃO TRASEIRA ESTÁ BATENDO."
PEY3G8,1267,          
FLL7D1,1269,          
HLB4C6,1268,          
FEZ5J4,1270,          
MMH0J6,1273,          
FDG770,1141,          
QJA5A3,1272,          
QJO721,1108,          
LQJ3F7,1108,          
RDV4B0,1274,          
MMA052,1275,          
MGS3C8,1276,          
MCH8D7,1245,          
MCK4I0,1219,          
QHW606,1277,          
HLK9F9,1278,          
ASY4C6,1279,          
RMW1E8,812,          
QHA679,1280,          
MKE776,165,          
FEP1C3,1277,          
MBW3A8,1108,          
MIM981,1235,          
MJV617,1282,          
NEI6J1,224,          
QHB531,391,          
QWU963,511,          
OHY1F4,64,          
MGB7H2,215,          
AZL9F0,1284,          
MEQ146,1283,          
PJZ6E6,1285,          
QHI417,1281,          
MFM6E1,159,          
NOD3H3,1223,          
MJE412,1286,          
MCO3A5,1287,          
MHJ455,1235,          
QUJ4B1,1096,          
FZF1G4,1288,          
GGE6E5,1289,          
MKT0D4,659,          
EEK9B2,1164,          
EEK9B9,1164,          
QJX6J5,1291,          
DVJ5B5,851,          
MGQ2G7,1294,          
RVM9B2,547,          
QHS4H6,1295,          
MKV7E9,1296,          
IOL0I6,1219,          
GDY4I0,1297,          
KNS3G0,1298,          
DAQ3B0,1300,          
RUB4B1,305,          
NPP4E9,1301,          
DNQ2C7,1302,          
CEK6B4,1303,          
QCY0I2,1304,          
MHZ8A6,873,          
ITS1F5,1305,          
MKQ8F2,1306,          
IIX494,988,          
IVY7F7,1307,          
QQI4A6,1308,          
MKL342,1309,          
LRK726,587,          
RLI5C9,1235,          
MBW333,1235,          
QHE851,1310,          
RLO7J1,1311,          
OPK9G8,1312,          
AUF130,1166,          
QJL623,1311,          
EWO7G5,1314,          
QHJ7F0,1316,          
CGL762,1,          
EVW2J2,115,          
DDC2D4,1318,          
SHI0F9,1164,          
MEY2F1,22,          
IJC5C8,1282,"          
"
MBH778,1219,          
AJG983,1141,          
ERY7J9,1164,          
INN158,1219,          
ITN0D1,1320,          
MLA7F8,1321,          
EFQ8H0,235,          
MIF8J5,1323,          
HLM196,1235,          
QXA4C0,1325,          
QHV5G7,1212,          
MHO576,1235,          
ADU025,1326,          
QIZ557,374,          
MHD6H5,736,          
MKH4I6,1327,          
LZD2D2,1328,          
MHJ7J0,663,          
MJA6C8,115,          
QHE3E8,1329,          
MER941,908,          
MDI5B4,1607,          
DSB353,750,          
QHX097,715,          
FCV2J1,1164,          
IZH5J8,1235,          
QUO9E1,1332,          
QIO9E1,1332,          
MCW166,1345,          
MAK0H6,1334,          
MJR492,615,          
QJA1H0,53,          
QWI9C5,115,          
MHV4C7,1235,          
QAA306,1335,          
MKL2I3,1092,          
JAX5H4,1336,          
QII711,1337,          
MCN0E3,1339,          
QHZ1L6,88,          
MKM101,1340,          
MBR456,1338,          
RDW1B7,1341,          
QPM4A3,1342,          
MAH3I1,808,          
MHI9H7,1343,          
MIJ991,1344,          
JRY6D7,1335,          
MFV9C0,1346,          
MFX8G3,213,          
MLM591,874,          
AXL970,1348,          
MGO8B0,1349,          
MLR269,1350,          
IZX3C3,1351,          
MKU4E4,400,          
"106,99",1348,          
ANX3J1,1352,          
MLA317,1354,          
MIH885,1356,          
MIE4J2,1353,          
QLC0F5,1355,          
MKS9E8,1235,          
GBQ6E8,1235,          
MHC076,1358,          
QJS0H9,1357,          
KOO7C1,1219,          
MFG9D6,353,          
RYN4C2,1360,          
BCX2F5,1361,          
KXW387,1235,          
PRB8H9,1362,          
ONW9C3,1363,          
MLE098,1365,          
RAC785,1364,          
MFW603,912,          
QIZ2H9,1367,          
QHA3D0,1368,          
MJJ9G6,53,          
MDL7B7,1369,          
MLD7B7,1369,          
QHZ1I6,88,          
MIN608,1370,          
RKW2D6,1371,          
MHB2H2,1368,          
QHY5D4,1372,          
MFU325,1373,          
QJX8F9,1374,          
PUR272,1375,          
AVP7A8,1376,          
MGS5H2,1377,          
MLS973,1378,          
MIA7B2,1200,          
QIY678,1380,          
FUB797,1381,          
PUJ6H0,1382,          
MMH941,1383,          
QHD507,1384,          
MAI0F5,1385,          
MHM7I6,1386,          
MJN9I4,528,          
QIE7H9,1387,          
DIP795,1118,          
LZD4E9,1389,          
MFB3B4,1388,          
MEI685,1390,          
MDT260,1392,          
ANB5C1,1235,          
QJV3I0,630,          
FFL8F0,1394,          
AUA096,1395,          
DQM6A8,1396,          
MED7C6,1127,          
MJE655,1172,          
MLE620,1397,          
MJV443,1398,          
MHQ9F7,929,"          
"
MMC7E0,1235,          
FHC7D5,1400,"          
"
AUM3D5,1219,          
MDP635,1401,          
RKY9G8,298,          
FPV9A2,886,          
HOD6E2,1402,          
IPU8D9,1403,          
IVQ8D0,1404,          
MDZ5G9,1235,          
MHV4I9,187,          
FQJ8C2,1252,          
AOX952,1445,          
QHX7R7,1235,          
HFB5D6,1405,          
NJL2I6,410,          
AAW2B0,1406,          
LXU929,988,          
QNC020,1407,          
BES5C2,1235,          
MJE196,1408,          
AJG9I3,1174,          
MIM9I0,1409,          
AWA7F1,1410,          
BAI2F3,1411,          
MFD5F2,1412,          
GMF5J7,1414,          
MJL851,1415,          
QHB5D1,391,          
RLK2B9,1416,          
ILI496,1000,          
OOH771,1235,          
MLU805,1417,          
MLS4D1,1418,          
APC2G0,1419,          
QJS5B1,1420,          
MAS9E7,1421,          
IZT9D2,1422,          
IWY9D3,276,          
PWO053,1424,          
PHX7I7,1426,          
RXP9H3,1428,          
MLJ1B5,1429,          
MIX748,1430,          
EZE5E2,1164,          
DRV2V7,1431,          
LXS905,1432,          
MHG2E8,1433,          
MJS7A6,1423,          
FXQ7B6,1434,          
MIJ801,1235,          
EYK8G0,393,          
MIW436,1435,          
OIR8E8,1083,          
MJP7I3,1645,          
QNJ864,1437,          
RTB2B4,614,          
RAF5I0,1436,          
QJP6B6,967,          
QID1I8,1263,          
MFR5I3,1438,          
QHB0D9,614,          
GGW0I4,1235,          
IVL5C7,1439,          
QVT7C0,744,          
BBF8J0,1458,          
QHY7G1,766,          
AQG7F2,1442,          
MHW688,1444,          
HJV6G6,1441,          
CSC5J1,1446,          
QHQ9H9,170,          
LYY528,1448,          
EYJ6H1,1449,          
MJM3G0,1450,          
MIN3E9,772,          
LPQ933,1451,          
QJA1I4,1452,          
GIC1C1,106,          
APC9E9,1453,          
121.44,268,          
QIR0H3,1295,          
QTL7F3,468,          
MHU0H6,676,          
MFB2C0,1456,          
AKH496,1455,          
MIP3I9,1367,          
MCP1A2,1459,          
MLS0I7,1235,          
QJO2J7,1460,          
MHY867,1235,          
AXY2A5,1463,          
MKU5B9,1464,          
MHV1H6,1465,          
PVH410,1466,          
RLH0J7,1467,          
LXI253,1219,          
QJB3B5,1468,          
MAF533,1235,          
HGS561,1469,          
QHB025,1352,          
KRT4C8,1272,          
QVV3J5,1470,          
QIV407,1235,          
AWZ1A3,1471,          
QIT9E7,115,          
MCW9C8,1425,          
MBD5B9,1127,          
MFY5F0,1472,          
MMB0G9,1473,          
GHE3B6,1474,          
RVL2H9,567,          
MGK048,788,          
MDW4I6,1475,          
IMB6D1,1443,          
MJT708,1476,          
BIO1E8,1492,          
LXD175,170,          
RAH8I4,425,          
QHV026,1478,          
MCM404,1479,          
MFZ7A1,1480,          
MKO6J2,1482,          
MKG3D7,1483,          
RXS5D5,1481,          
QEZ0E6,115,          
FSK7D3,1484,          
MHT938,1219,          
CSE0B3,1485,          
MHG4G0,1235,          
QJG8B6,881,          
AJJ7F0,875,          
NLT742,1487,          
MIK4I8,1488,          
MJD8C3,1489,          
LYW7G5,1479,          
OUG095,1486,          
IUA5F2,1490,          
PGN0E1,1235,          
MFI6E0,1493,          
MIS0E6,1494,          
MBA1D4,1491,          
IKA4C3,1235,          
MHI139,1330,          
MJE9F8,1496,          
HLU6G6,1441,          
MJG8A8,1497,          
MFD4E8,1498,          
QHT4H2,1499,          
QIJ710,1500,          
MDP8G1,1501,          
ERM4F0,635,          
RDY5D2,1502,"          
"
MLK480,1503,          
MHC135,1505,          
MLL7B4,1504,          
RYR9H0,537,          
RXY8F0,233,          
QHG0C5,276,          
MLE567,1168,          
MJX891,1235,          
MGX0J2,1506,          
ILY7C8,1507,          
MJF0D1,664,          
QLO735,1508,          
IXP5F2,1235,          
JBU2J2,1509,          
RLG5D0,74,          
RDW2B8,831,          
NQS0C4,363,          
MLR9F2,1510,          
OAW1I2,1511,          
MHH9D6,650,          
MLE149,1512,          
QQN6D4,329,          
MJJ2J6,317,          
MFJ160,1514,          
EZQ413,1393,          
NMQ3F8,1515,          
OWO9D2,125,          
MHL2D6,222,          
MHQ0G4,1027,          
MLJ9E3,1658,          
FQG092,1517,          
MWM256,1518,          
QHM136,1519,          
RXN2B7,1521,          
MJY977,1522,          
RAG5J2,1523,          
MKF367,1108,          
MID276,1525,          
LQS2D7,1526,          
CBJ9D3,15,          
MGW4G1,236,          
NYK4J8,1528,          
MKT857,1235,          
MLC154,1529,          
MGO897,1530,          
PXT5I7,1531,          
MKQ661,1532,          
MFW168,1427,          
RXY8F1,346,          
MIH4J0,1533,          
MIQ5H9,1534,          
MLK7A8,884,          
LUK3F7,1535,          
PZF2H6,1536,          
QHA2I9,1538,          
MAC791,1540,          
QHE603,1541,          
QIZ3C9,1542,          
CXL431,317,          
DUT0I3,1543,          
MKP587,1283,          
RLA4B6,1004,          
MDQ1A9,1189,          
MFO5H3,1544,          
IYD225,1546,          
MGT0E0,248,          
MGJ569,1547,          
MLH157,1548,          
RYI8F9,1336,          
QIS2O4,179,          
MFT3C6,563,          
GHE3B3,1474,          
MGE487,1550,          
SIO0B8,1553,          
QIS204,179,          
MIM4G3,1551,          
QTL2C7,9,          
MXA3I0,1235,          
JNO9C3,1554,          
MKN8A1,69,          
LSC6E9,1556,          
GHZ442,1172,          
MGB3G9,1151,          
QHG987,1557,          
MKW3A7,1558,          
SXB5G9,1555,          
ALY0G6,1561,          
MER1D3,1563,          
MVK121,1565,          
QIE8F3,1564,          
RLD0H8,1213,          
MKV0A1,1566,          
OKH4N5,1562,          
MHF714,1567,          
RLH4G0,1536,          
QIZ099,455,          
RXR0C2,1568,          
IDO1E1,1511,          
PMC220,583,          
MJH530,1569,          
QJH530,1569,          
QHY6B6,767,          
RXR5B3,676,          
SXG5F1,1570,          
QNN0H9,1572,          
EIW7I7,1573,          
IEH2B5,1574,          
EKM6C8,1074,          
QHC4H5,366,          
QHN7G1,1528,          
MGH840,1577,          
MKJ278,1575,          
IRX770,1579,          
RAE5F1,1580,          
MMB5F2,1581,          
MEC2A4,1582,          
MLJ6E3,1583,          
MFG952,379,          
QHG575,723,          
MDF293,1219,          
MKB830,1585,          
FBX2D3,1024,          
RLF6B5,1588,          
BCF1F0,1589,          
QHU2B0,583,          
MCU2A6,565,          
MIB428,1590,          
LZJ689,1592,          
HWW2J2,1593,          
MIF3H8,284,          
DWA3G6,1127,          
MCI4C4,1594,          
MKP1I6,1595,          
BAZ014,1235,          
SXI5B2,562,          
MKN039,1596,          
MIV0C3,1598,          
PVV8C9,1599,          
MLT1I4,1597,          
FMG6F4,1600,          
QUX2B8,1396,          
QIM2H1,1602,          
OQU200,1603,          
MIV4B1,1604,          
MFO5G1,1605,          
RYQ1J7,1606,          
MIH204,1474,          
MFI0A2,1608,          
MDX065,1609,          
MKH4H4,1610,          
MMA9C8,1611,          
FKL1A2,899,          
TPX2F3,1613,          
QHO7C1,1614,          
NQB1E1,1235,          
FRH1I6,893,          
MGF4G0,1582,          
BCB0E2,150,          
MKS7B0,1615,          
NEZ8I0,1616,          
RHA8I4,425,          
IOE951,656,          
RXT6B7,454,          
FMR6H8,1378,          
MHG809,1620,          
PWP2C1,1619,          
MJK727,1092,          
MJI055,1343,          
MFS474,1623,          
MJU4J3,1625,          
MCM408,1544,          
MDP3H6,1627,          
RBB1F6,1397,          
MIY6I0,1628,          
QJF694,1629,          
MCC617,1278,          
ER3I90,1631,          
QER3I9,1631,          
QIW593,1632,          
IWQ6J4,1630,          
MFC4C8,1635,          
QHW461,1636,          
QPO7H4,1634,          
MAV363,1638,          
IMJ4H3,1336,          
MKB1J5,1641,          
RDW8C6,1291,          
MLL914,1642,          
OKF7B9,1640,          
QHS602,1235,          
MCB8G8,1436,          
MEY032,1435,          
MKD278,1644,          
SXS1I6,312,          
NMJ9C4,1646,          
MIW8G3,116,          
AZC9G8,1235,          
MKC566,1000,          
MHB2H8,1647,          
MJQ756,302,          
MAZ3A8,1580,          
MUT6H4,1345,          
MIA565,1648,          
MDJ8C3,1489,          
MHU312,1235,          
DTC1J4,1649,          
MIJ682,1650,          
CYJ3G5,1396,          
MGV916,1651,          
CHS6E7,1652,          
GQO1J8,1403,          
OMB8D5,1137,          
NMN955,1654,          
AKH1C8,46,          
ENT988,1656,          
MHD951,1657,          
RAI2C4,1659,          
MLT2J7,1660,          
